x,y
node-gyp-build,2
conf,1
atomically,1
debounce-fn,1
json-schema-typed,1
delay,1
p-wait-for,1
roarr,1
boolean,2
fast-json-stringify,1
fast-printf,1
safe-stable-stringify,1
semver-compare,1
@fastify/deepmerge,1
fast-uri,1
rfdc,1
cache-content-type,1
cookies,1
http-assert,1
is-generator-function,1
koa-compose,2
koa-convert,1
only,1
keygrip,1
tsscmp,2
electron-is-accelerator,1
keyboardevent-from-electron-accelerator,1
keyboardevents-areequal,1
co,1
@tokenizer/token,3
file-type,9
strtok3,2
token-types,2
readable-web-to-node-stream,1
peek-readable,1
base64id,2
engine.io,1
socket.io-adapter,1
socket.io-parser,1
@types/cookie,1
@types/cors,1
cors,1
engine.io-parser,1
@socket.io/component-emitter,1
vue-eslint-parser,1
@vue/compiler-dom,3
@vue/compiler-sfc,1
@vue/runtime-dom,1
@vue/server-renderer,1
@vue/shared,10
@nextcloud/logger,5
ical.js,3
icalzone,2
@floating-ui/dom,3
@nextcloud/axios,5
@nextcloud/browser-storage,3
@nextcloud/calendar-js,2
@nextcloud/capabilities,3
@nextcloud/dialogs,3
@nextcloud/event-bus,4
@nextcloud/initial-state,4
@nextcloud/l10n,8
@nextcloud/router,6
@nextcloud/vue-select,2
@skjnldsv/sanitize-svg,3
debounce,3
emoji-mart-vue-fast,2
floating-vue,2
focus-trap,2
hammerjs,2
linkify-string,2
md5,5
node-polyfill-webpack-plugin,2
rehype-react,2
remark-breaks,2
remark-external-links,2
remark-parse,2
remark-rehype,2
splitpanes,2
string-length,2
striptags,2
tributejs,2
unified,7
unist-builder,2
unist-util-visit,7
v-click-outside,3
vue-color,2
vue-material-design-icons,3
vue-multiselect,3
vue2-datepicker,2
linkifyjs,2
style-loader,2
v-tooltip,3
vue-visible,2
@testing-library/dom,2
@vue/test-utils,1
vue-resize,4
stylelint-config-html,1
stylelint-config-recommended,1
csstype,8
@vue/compiler-core,3
estree-walker,4
@vue/compiler-ssr,2
@vue/reactivity-transform,1
magic-string,2
sourcemap-codec,1
@vue/runtime-core,1
@vue/reactivity,1
@vue/devtools-api,1
MagicMirror,0
console-stamp,1
digest-fetch,1
express-ipfilter,1
feedme,1
helmet,1
luxon,1
module-alias,1
moment,5
node-ical,1
base-64,2
js-sha256,1
js-sha512,1
charenc,1
crypt,1
@humanwhocodes/object-schema,1
range_check,1
ip6,1
clarinet,1
jed,2
node-gettext,3
moment-timezone,2
rrule,1
mathjs,0
complex.js,1
escape-latex,1
javascript-natural-sort,1
seedrandom,1
typed-function,1
Modernizr,0
file,1
markdown-it,1
requirejs,1
linkify-it,1
mdurl,1
uc.micro,2
lcid,1
invert-kv,1
mojs,0
stylelint-webpack-plugin,1
NeteaseCloudMusicApi,0
express-fileupload,1
pac-proxy-agent,1
qrcode,3
safe-decode-uri-component,1
@types/range-parser,1
@types/mime,1
@types/busboy,1
busboy,1
streamsearch,1
get-uri,1
pac-resolver,1
ftp,1
xregexp,1
degenerator,1
netmask,1
ast-types,1
vm2,1
dijkstrajs,1
pngjs,3
encode-utf8,1
nexe,0
@calebboyd/semaphore,1
app-builder,1
caw,1
download,1
meriyah,2
multistream,1
resolve-dependencies,1
get-proxy,1
npm-conf,1
config-chain,2
proto-list,1
has-to-string-tag-x,1
is-object,1
has-symbol-support-x,1
@types/decompress,1
@types/got,1
archive-type,1
decompress,1
ext-name,1
p-event,1
decompress-tar,3
decompress-tarbz2,1
decompress-targz,1
decompress-unzip,1
strip-dirs,1
seek-bzip,1
is-natural-number,1
ext-list,1
sort-keys-length,1
sort-keys,1
from2,1
p-is-promise,1
@types/http-cache-semantics,1
@types/keyv,1
quick-lru,2
resolve-alpn,1
nightwatch,0
@nightwatch/chai,1
@nightwatch/html-reporter-template,1
ansi-to-html,1
chai-nightwatch,1
cli-table3,1
didyoumean,1
envinfo,1
lodash.clone,1
lodash.defaultsdeep,1
lodash.escape,1
lodash.pick,1
mkpath,1
nightwatch-axe-verbose,1
open,2
selenium-webdriver,1
stacktrace-parser,1
untildify,1
loupe,1
lodash._baseclone,1
lodash._bindcallback,1
lodash._isiterateecall,1
lodash._arraycopy,1
lodash._arrayeach,1
lodash._baseassign,1
lodash._basefor,1
lodash.isarray,2
lodash.keys,2
lodash._basecopy,1
lodash._getnative,1
lodash.isarguments,1
axe-core,1
define-lazy-prop,1
@types/ws,1
jszip,2
lie,1
setimmediate,2
immediate,1
nock,0
propagate,1
peerjs,0
@swc/helpers,1
peerjs-js-binarypack,1
webrtc-adapter,1
sdp,1
phaser,0
recharts,0
classnames,2
react-resize-detector,1
react-smooth,1
recharts-scale,1
reduce-css-calc,1
victory-vendor,1
fast-equals,1
react-transition-group,2
dom-helpers,1
prop-types,11
react-lifecycles-compat,2
@types/react,12
decimal.js-light,1
css-unit-converter,1
@types/d3-array,1
@types/d3-ease,1
@types/d3-interpolate,1
@types/d3-scale,1
@types/d3-shape,1
@types/d3-time,3
@types/d3-timer,1
d3-array,2
d3-ease,1
d3-interpolate,2
d3-scale,1
d3-shape,1
d3-time,2
d3-timer,1
@types/d3-color,2
@types/d3-path,2
d3-color,1
d3-format,1
d3-time-format,1
d3-path,1
selenium,0
@apollo/client,1
@emotion/react,1
@emotion/styled,1
@mui/icons-material,1
@mui/material,1
@novnc/novnc,1
@types/react-dom,2
@types/react-modal,1
@types/react-router-dom,1
graphql,1
graphql.macro,1
react,1
react-dom,1
react-modal,1
react-router-dom,1
source-map-explorer,1
ts-standard,1
@graphql-typed-document-node/core,1
@wry/context,2
@wry/equality,1
@wry/trie,2
graphql-tag,2
hoist-non-react-statics,3
optimism,1
response-iterator,1
symbol-observable,1
ts-invariant,1
zen-observable-ts,1
zen-observable,1
@emotion/babel-plugin,3
@emotion/cache,3
@emotion/serialize,4
@emotion/use-insertion-effect-with-fallbacks,3
@emotion/utils,5
@emotion/weak-memoize,3
@emotion/hash,2
@emotion/memoize,4
babel-plugin-macros,2
stylis,2
@emotion/unitless,1
@emotion/sheet,1
@emotion/is-prop-valid,2
@mui/base,1
@mui/core-downloads-tracker,1
@mui/system,1
@mui/types,3
@mui/utils,4
@types/react-transition-group,1
clsx,3
@popperjs/core,2
@types/prop-types,3
@types/react-is,1
@types/scheduler,2
@mui/private-theming,1
@mui/styled-engine,1
@types/history,4
@types/react-router,2
babel-literal-to-ast,1
@babel/plugin-transform-react-display-name,1
@babel/plugin-transform-react-jsx,2
@babel/plugin-transform-react-jsx-development,1
@babel/plugin-transform-react-pure-annotations,1
array.prototype.tosorted,2
jsx-ast-utils,2
object.entries,2
object.fromentries,2
object.hasown,2
string.prototype.matchall,2
@types/aria-query,1
aria-query,1
dom-accessibility-api,1
lz-string,1
side-channel,2
scheduler,1
exenv,1
warning,1
history,2
react-router,1
btoa,1
temp,1
@typescript-eslint/eslint-plugin,1
@typescript-eslint/parser,2
eslint-config-standard-jsx,1
eslint-config-standard-with-typescript,1
eslint-plugin-n,1
eslint-plugin-react,1
pkg-conf,2
standard-engine,1
@typescript-eslint/scope-manager,3
@typescript-eslint/type-utils,1
@typescript-eslint/utils,2
natural-compare-lite,1
tsutils,3
@typescript-eslint/types,5
@typescript-eslint/visitor-keys,2
@typescript-eslint/typescript-estree,3
@types/semver,2
builtins,1
get-stdin,1
server,0
@chenfengyuan/vue-qrcode,1
@mdi/svg,1
@nextcloud/browserslist-config,2
@nextcloud/calendar-availability-vue,1
@nextcloud/files,1
@nextcloud/moment,1
@nextcloud/password-confirmation,1
@nextcloud/paths,1
@nextcloud/sharing,1
@nextcloud/vue,4
@nextcloud/vue-dashboard,1
autosize,1
backbone,1
blueimp-md5,1
browserslist-useragent-regexp,1
clipboard,1
colord,1
davclient.js,1
focus-visible,1
jquery-migrate,1
jquery-ui,1
jquery-ui-dist,1
libphonenumber-js,1
nextcloud-vue-collections,1
node-vibrant,1
p-queue,1
path,1
query-string,1
select2,1
snap.js,1
strengthify,1
throttle-debounce,1
underscore,2
url-search-params-polyfill,1
vue-click-outside,1
vue-cropperjs,1
vue-infinite-loading,1
vue-localstorage,1
vuedraggable,1
vuex,1
vuex-router-sync,1
webdav,1
@nextcloud/typings,2
@types/jquery,1
toastify-js,1
@floating-ui/core,1
strnum,1
@babel/polyfill,1
vue-virtual-scroller,1
scrollparent,1
vue-observe-visibility,1
tabbable,1
assert,1
browserify-zlib,1
console-browserify,1
constants-browserify,1
crypto-browserify,1
domain-browser,1
filter-obj,2
https-browserify,1
os-browserify,1
path-browserify,1
querystring-es3,1
stream-browserify,1
stream-http,1
timers-browserify,1
tty-browserify,1
util,2
vm-browserify,1
browserify-cipher,1
browserify-sign,1
create-ecdh,1
create-hash,6
create-hmac,3
diffie-hellman,1
pbkdf2,2
public-encrypt,1
randomfill,1
browserify-aes,2
browserify-des,1
evp_bytestokey,3
buffer-xor,1
cipher-base,4
md5.js,2
ripemd160,3
sha.js,3
hash-base,2
des.js,1
bn.js,8
browserify-rsa,2
elliptic,2
parse-asn1,2
brorand,2
hash.js,2
hmac-drbg,1
minimalistic-crypto-utils,2
asn1.js,2
miller-rabin,1
builtin-status-codes,1
@mapbox/hast-util-table-cell-style,1
@types/hast,4
hast-to-hyperscript,1
hast-util-whitespace,1
unist-util-visit-parents,1
@types/unist,13
unist-util-is,2
comma-separated-tokens,1
property-information,1
space-separated-tokens,2
style-to-object,1
web-namespaces,1
inline-style-parser,1
bail,1
trough,1
vfile,1
unist-util-stringify-position,3
vfile-message,1
@types/mdast,8
mdast-util-definitions,2
mdast-util-from-markdown,1
decode-named-character-reference,4
mdast-util-to-string,1
micromark,1
micromark-util-decode-numeric-character-reference,3
micromark-util-decode-string,1
micromark-util-normalize-identifier,3
micromark-util-symbol,15
micromark-util-types,13
uvu,6
character-entities,1
micromark-core-commonmark,1
micromark-factory-space,4
micromark-util-character,10
micromark-util-chunked,4
micromark-util-combine-extensions,1
micromark-util-encode,2
micromark-util-resolve-all,2
micromark-util-sanitize-uri,2
micromark-util-subtokenize,2
micromark-factory-destination,1
micromark-factory-label,1
micromark-factory-title,1
micromark-factory-whitespace,1
micromark-util-classify-character,1
micromark-util-html-tag-name,1
dequal,1
kleur,1
sade,1
mri,1
mdast-util-to-hast,1
trim-lines,1
unist-util-generated,1
unist-util-position,1
char-regex,1
clamp,1
lodash.throttle,1
material-colors,1
tinycolor2,2
date-format-parse,1
popper.js,2
dom-event-types,1
pretty,1
condense-newlines,1
js-beautify,1
is-whitespace,1
editorconfig,1
sigmund,1
argue-cli,1
easy-table,1
useragent,1
@jimp/custom,1
@jimp/plugin-resize,1
@jimp/types,1
@types/lodash,1
@jimp/core,1
@jimp/utils,6
any-base,1
exif-parser,1
load-bmfont,1
phin,2
pixelmatch,1
parse-bmfont-ascii,1
parse-bmfont-binary,1
parse-bmfont-xml,1
xhr,1
xml-parse-from-string,1
global,1
is-function,1
parse-headers,1
min-document,1
dom-walk,1
@jimp/bmp,1
@jimp/gif,1
@jimp/jpeg,1
@jimp/png,1
@jimp/tiff,1
timm,1
bmp-js,2
gifwrap,1
omggif,2
image-q,1
jpeg-js,1
utif,1
split-on-first,1
strict-uri-encode,1
cropperjs,1
byte-length,1
hot-patcher,1
layerr,1
nested-property,1
path-posix,1
url-join,1
showdown,0
simplefolio,0
bootstrap,1
vanilla-tilt,1
tesseract.js,0
idb-keyval,1
is-electron,1
is-url,1
opencollective-postinstall,1
tesseract.js-core,1
wasm-feature-detect,1
zlibjs,1
TypeScript-Node-Starter,0
bcrypt-nodejs,1
connect-mongo,1
errorhandler,1
express-flash,1
express-session,1
express-validator,1
fbgraph,1
lusca,1
mongoose,1
nodemailer,1
passport,1
passport-facebook,1
passport-local,1
pug,1
winston,2
kruptein,1
mongodb,2
@types/bson,2
bson,2
denque,1
require_optional,1
connect-flash,1
uid-safe,1
random-bytes,1
validator,2
@types/mongodb,1
kareem,1
mongoose-legacy-pluralize,1
mpath,1
mquery,1
regexp-clone,2
sift,1
sliced,2
passport-strategy,3
pause,1
@types/passport,4
passport-oauth2,1
base64url,1
oauth,1
uid2,1
@types/passport-strategy,1
@dabh/diagnostics,1
logform,1
one-time,1
stack-trace,1
triple-beam,3
winston-transport,1
colorspace,1
enabled,1
kuler,1
text-hex,1
simple-swizzle,1
is-arrayish,1
fast-safe-stringify,1
fecha,1
fn.name,1
wtfjs,0
default-pager,1
meow,1
msee,1
@types/minimist,2
camelcase-keys,1
decamelize-keys,1
hard-rejection,1
minimist-options,1
redent,1
trim-newlines,1
map-obj,2
strip-indent,1
min-indent,1
ansicolors,2
cardinal,1
combined-stream-wait-for-it,1
table-header,1
wcstring,1
redeyed,1
varsize-string,1
wcsize,1
zx,0
@types/ps-tree,1
@types/which,1
ps-tree,1
webpod,1
node-domexception,1
web-streams-polyfill,1
,0
undefined,1
